id,name,category,source,modified,has_density,has_embedding,aliases
c0e3b2a7-6c59-4da7-b794-00c2a24ced04,"Ananas au sirop léger, appertisé, égoutté",,ciqual,False,False,False,
0dd2d7b3-0182-4293-87e3-caea0c153c42,"Ananas, chair sans peau, cru",,ciqual,False,False,False,
d3b82b43-6250-483d-b3c7-2babc64875b8,"Ananas, chair sans peau, cru , prélevé à la Martinique",,ciqual,False,False,False,
277a0a81-6c89-4eee-9320-76e9afa21bb2,"Anchois, cru",,ciqual,False,False,False,
dc94f1e7-87c2-4fe7-ae4d-dd6bb0900e74,"Anchois, filets, marinés à l'huile, semi-conserve, égouttés",,ciqual,False,False,False,
01769b42-3769-40fd-9725-3a54f504993c,"Anchois, filets, marinés à l'orientale (huile, piments…), semi-conserve, égouttés",,ciqual,False,False,False,
a5ba7749-659b-4360-a6c7-aec60cebcefd,"Anchois, filets, marinés, semi-conserve, égouttés (aliment moyen)",,ciqual,False,False,False,
f96264ce-6703-4607-a7f5-b593b9b5e8fb,"Anchois, filets, roulés aux câpres, salés, à l'huile, semi-conserve, égouttés",,ciqual,False,False,False,
15d88249-6b5e-44b2-979d-aad8855a0cd0,"Anchois, filets, salés, à l'huile d'olive, semi-conserve, égouttés",,ciqual,False,False,False,
3f55e304-08fa-4914-b2e5-21c62974fb42,"Anchois, filets, salés, à l'huile de tournesol, semi-conserve, égouttés",,ciqual,False,False,False,
d6675626-ce93-43ec-b48f-745c512e9509,"Anchois, filets, salés, à l'huile, semi-conserve, égouttés",,ciqual,False,False,False,
fc2fc673-611c-406b-93a9-e6b2200a8a0a,Andouille,,ciqual,False,False,False,
b0b1cdf8-f5d0-416e-a6fd-b97f044a8c46,Andouille de Guéméné,,ciqual,False,False,False,
708aae84-0e38-470b-a966-750a0a080d6c,Andouille de Vire,,ciqual,False,False,False,
1c742cf1-6b62-422c-b4bb-2bb0aec9498b,"Andouille, réchauffée à la poêle",,ciqual,False,False,False,
838384f7-fadd-4f84-ad07-41e1b8ad1386,"Andouillette de Troyes, à cuire",,ciqual,False,False,False,
a50eb38f-d0db-489b-b88c-155cb19e7700,"Andouillette, grillée/poêlée",,ciqual,False,False,False,
957c2765-f196-4818-905d-c840b712050e,"Andouillette, à cuire",,ciqual,False,False,False,
9cb461b7-55a9-4161-b87e-b4ad5f8cf0b0,"Aneth, frais",,ciqual,False,False,False,
06a23bb5-9ec5-4c11-9d74-a47437bf85ef,"Aneth, séché",,ciqual,False,False,False,
e8223b41-a5cc-4e43-8bdb-b0bff0c4e001,Anguille,,ciqual,False,False,False,"Anguille, bouillie/cuite à l'eau (llm); Anguille, crue (llm); Anguille, cuite (aliment moyen) (llm); Anguille, rôtie/cuite au four (llm)"
85c21280-56ab-4519-b6da-de039871ee53,"Anone ou chérimole, chair sans peau, crue",,ciqual,False,False,False,
31601586-94cd-4005-ae61-9c35fb2439cd,"Ao-nori (Ulva sp., ex Enteromorpha sp.), séchée ou déshydratée",,ciqual,False,False,False,
e37b2ee3-573f-44c1-8d26-a2255d777905,"Apéritif anisé sans alcool, à diluer",,ciqual,False,False,False,
d0cbd536-382d-41e6-9d2b-eaba08fdd9c8,Apéritif à base de vin ou vermouth,,ciqual,False,False,False,
64ff47ae-f9d0-44cf-89de-ecbe9a8d1eb6,"Araignée de mer, bouillie/cuite à l'eau",,ciqual,False,False,False,
7bae82a4-3492-4d9e-8e50-dbb74f74d5b0,Artichaut,,ciqual,False,False,False,"Artichaut, appertisé, égoutté (llm); Artichaut, cru (llm); Artichaut, cuit (llm)"
7b4cdf7d-8f7d-4778-a6b4-4283fa8c04fb,"Artichaut, coeur, appertisé, égoutté",,ciqual,False,False,False,
2af17685-2ae0-4364-b1b1-5723492ebd72,"Artichaut, cuit à la vapeur sous pression",,ciqual,False,False,False,
5b1d582c-dcda-4734-a530-ec82070f603e,"Artichaut, fond",,ciqual,False,False,False,"Artichaut, fond, appertisé, égoutté (llm); Artichaut, fond, surgelé, cru (llm)"
ef1e726e-b9e7-42b5-bc13-8f802eebb864,"Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté",,ciqual,False,False,False,
35df086f-0f49-4b84-a455-da87a9a7bca0,Asiago,,ciqual,False,False,False,
b0f45b09-37a6-44ea-ac42-7adfbee87828,Asperge,,ciqual,False,False,False,"Asperge, appertisée, égouttée (llm); Asperge, bouillie/cuite à l'eau (aliment moyen) (llm)"
cc199143-cbf9-4911-bec5-5e7163718e09,"Asperge blanche, bouillie/cuite à l'eau",,ciqual,False,False,False,
dd474e9e-2b29-4772-846e-0343651d7411,"Asperge, blanche ou violette, pelée, crue",,ciqual,False,False,False,
1047cb43-abf1-4a59-9e58-937812002054,"Asperge, verte",,ciqual,False,False,False,"Asperge verte, bouillie/cuite à l'eau (llm); Asperge, verte, crue (llm)"
7a65923d-3e05-4ba2-8ff9-a91f0ac86d8b,Aubergine,,ciqual,False,False,False,"Aubergine, crue (llm); Aubergine, cuite (llm)"
2da2ca18-0966-493e-afd5-581a9fae3dea,"Aubergine, chair et peau, rôtie/cuite au four",,ciqual,False,False,False,
c16619ee-aab0-408d-a318-5ee46cf72711,"Autruche, viande",,ciqual,False,False,False,"Autruche, viande crue (llm); Autruche, viande cuite (llm)"
b2e3efad-eae3-4024-b171-b505bb9f924a,"Avocat, chair sans peau, sans noyau, cru",,ciqual,False,False,False,
bd6e7bf2-de88-4e2c-bf6b-accb00f36d40,"Avoine, crue",,ciqual,False,False,False,
1bb431d7-e8f7-40e5-8e85-9f527675b583,"Baba au rhum, artisanal",,ciqual,False,False,False,
ce55e3f1-c66c-4bdf-b3fc-50730abca225,"Baba au rhum, rayon frais",,ciqual,False,False,False,
3357b464-aeb1-478a-92fa-eb54ecdb2805,"Baie de goji, séchée",,ciqual,False,False,False,
49466bbf-1f58-417c-a1fb-1562f99ecfc7,Baklava ou baklawa (pâtisserie orientale aux amandes et sirop),,ciqual,False,False,False,
0e595edb-85be-4f1e-bf56-2059feb60087,"Bambou, pousse, crue",,ciqual,False,False,False,
23df350e-9d38-4da4-a141-a3b8ef25d45e,"Bambou, pousses, appertisées, égouttées",,ciqual,False,False,False,
aaaa82f3-7df6-42c2-93dc-3ecc6734a0fa,"Banane jaune, chair sans peau, cuite à la vapeur, prélevée à la Martinique",,ciqual,False,False,False,
0b1ee644-bdff-4d29-a642-3a33c9415504,Banane plantain,,ciqual,False,False,False,"Banane plantain, crue (llm); Banane plantain, cuite (llm)"
87f9e9cd-de03-4093-8c74-e87a69b09546,"Banane, chair sans peau, crue",,ciqual,False,False,False,
2d1e2a59-6095-4e5e-bb47-6067bbf213bc,"Banane, chair sans peau, sèche",,ciqual,False,False,False,
493a99ef-007c-4015-b6d5-048880286c29,Bar commun ou loup,,ciqual,False,False,False,"Bar commun ou loup, cru (llm); Bar commun ou loup, rôti/cuit au four (llm)"
60500a70-c168-4667-9826-cbc5039e6be7,"Bar commun ou loup (Méditerranée), sauvage, cru",,ciqual,False,False,False,
3b6a37d3-cbf3-41f4-9560-20f8d8255354,"Bar commun ou loup (Méditerranée), élevage, cru",,ciqual,False,False,False,
895844ea-e930-423e-a918-dd8e1e31101c,"Bar rayé ou bar d'Amérique, cru",,ciqual,False,False,False,
e987f5e9-5642-4e09-927f-027f6e742de8,Barre chocolat au lait avec nougat,,ciqual,False,False,False,
05af86bd-b850-48e6-8b53-d905effa0d76,Barre chocolatée aux fruits secs,,ciqual,False,False,False,
70292836-06bf-40fd-8a75-f3a1a69adac0,Barre chocolatée biscuitée,,ciqual,False,False,False,
70a35967-8c69-4506-94c9-9693fed9d385,Barre chocolatée non biscuitée enrobée,,ciqual,False,False,False,
32f29dfa-e1b6-42d4-a58c-bb02c67ffb64,"Barre céréalière ""équilibre"" au chocolat, enrichie en vitamines et minéraux",,ciqual,False,False,False,
524bd62f-2666-4d4e-beeb-f371e10d1bbe,"Barre céréalière ""équilibre"" aux fruits, enrichie en vitamines et minéraux",,ciqual,False,False,False,
50fc29b1-1204-4d9e-ae64-072b4afe4dfd,Barre céréalière au chocolat,,ciqual,False,False,False,
452fe4fd-8a9b-4d02-8551-49bfa301959a,Barre céréalière au chocolat et aux fruits,,ciqual,False,False,False,
6151155a-7559-414a-aef8-d011abb14f36,Barre céréalière aux amandes ou noisettes,,ciqual,False,False,False,
794ea7b2-439e-4cc3-be06-416033a0e122,Barre céréalière aux fruits,,ciqual,False,False,False,
715bff56-52a7-4b77-b2c7-d7a89d8b9221,Barre céréalière diététique hypocalorique,,ciqual,False,False,False,
0284a945-d6dd-4685-b9de-a2170e66d26b,"Barre céréalière pour petit déjeuner au lait, au chocolat ou non, enrichie en vitamines et minéraux",,ciqual,False,False,False,
58491be1-2bb3-458a-9822-c096b1713c6f,Barre glacée chocolatée,,ciqual,False,False,False,
bb5ab9d2-f58d-444c-b7f0-8079fee2b484,Barre ou confiserie chocolatée au lait,,ciqual,False,False,False,
dff12699-10ac-49e0-b3b5-bee31c56ddb9,"Barre pâtissière, préemballée",,ciqual,False,False,False,
3a239094-b76c-4db9-99d8-726d38c95915,"Barre à la noix de coco, enrobée de chocolat",,ciqual,False,False,False,
52d94dbc-a6c0-4999-a55d-6f47740a95f3,"Base de pizza (pâte et sauce à la crème), crue",,ciqual,False,False,False,
8fd7518f-d51d-4f57-8410-14ae315d6607,"Base de pizza (pâte et sauce à la tomate), crue",,ciqual,False,False,False,
5b3388b0-cd9a-4d3e-9e32-eb515fb2ee68,"Basilic, frais",,ciqual,False,False,False,
b9965587-25a5-43e5-9a92-e345d5dc6dc3,"Basilic, séché",,ciqual,False,False,False,
9f32f699-d98d-4524-84e1-ae5053dd055d,"Batavia, crue",,ciqual,False,False,False,
6e8dfc06-c3a0-45cd-9bd2-6a87d6840c4c,"Baudroie rousse ou Lotte, crue",,ciqual,False,False,False,
dedd9514-60e4-45d2-b4d2-4dd63e88eeb3,Beaufort,,ciqual,False,False,False,
63f42e6a-d679-4197-a7bd-3d788b8e2c46,Beignet de crevette,,ciqual,False,False,False,
c77e9bee-8088-4c8c-95dc-6fcdcf7869a1,"Beignet ou donut fourré aux fruits (fourrage type confiture), préemballé",,ciqual,False,False,False,
8fd8b570-1528-40d0-b3d2-8fc1ab0af3f6,"Beignet ou donut fourré ou nappé goût chocolat ou chocolat noisette, préemballé",,ciqual,False,False,False,
bf715091-36f0-41af-bec1-f8e4425478b5,"Beignet ou donut rond moelleux, sans fourrage, saupoudré de sucre",,ciqual,False,False,False,
bf17027f-49cf-4662-b8cc-fc050ebdeba1,"Bette ou blette, côte et feuille, bouillie/cuite à l'eau",,ciqual,False,False,False,
